DistrictId,Ecology_1,Ecology_2,Ecology_3,Floor,Healthcare_1,Helthcare_2,HouseFloor,HouseYear,Id,KitchenSquare,LifeSquare,Price,Rooms,Shops_1,Shops_2,Social_1,Social_2,Social_3,Square
35,0.089039719,B,B,7,,0,9.0,1969,14038,6.0,,184966.9307298416,2.0,11,B,33,7976,5,47.981561235175036
41,6.99893e-05,B,B,7,,1,9.0,1978,15053,8.0,,300009.4500627274,3.0,16,B,46,10309,1,65.68363987232783
53,0.049637257,B,B,8,,1,12.0,1968,4765,4.0,,220925.90852358093,2.0,3,B,34,7759,0,44.947952764125006
58,0.43788524,B,B,8,,0,17.0,1977,5809,9.0,,175616.22721724625,2.0,5,B,23,5735,3,53.352981355613345
99,0.012338886,B,B,11,,2,12.0,1976,10783,7.0,,150226.5316437466,1.0,4,B,35,5776,1,39.649191950029994
59,0.309479124,B,B,5,,0,17.0,2011,12915,12.0,,215898.44774214894,3.0,6,B,35,7715,4,80.38447920267191
154,0.460556389,B,B,3,,1,5.0,1960,14549,7.0,,296021.2043771131,2.0,5,B,20,4386,14,62.254113586402504
74,0.075778755,B,B,14,,0,0.0,1977,11993,4.0,,221244.15666358554,2.0,2,B,6,1437,3,80.31292563185586
1,0.007122317,B,B,9,,0,17.0,1977,5172,4.0,,229102.7959994131,2.0,1,B,1,264,0,64.51143730838427
23,0.075778755,B,B,13,,0,17.0,2014,8649,8.0,,95380.22099316985,1.0,2,B,6,1437,3,46.46140869718414
28,0.118537385,B,B,8,,1,9.0,1973,15370,6.0,,204243.55312879704,2.0,0,B,30,6207,1,46.30490677332586
31,0.0,B,B,1,,0,8.0,1959,12427,7.0,,165534.5414246522,3.0,4,B,23,3684,2,68.80885909839964
13,0.090799103,B,B,8,,5,12.0,1999,6452,4.0,,229220.37260914012,2.0,15,B,74,19083,2,54.5228049029371
57,0.13321533300000002,B,B,6,,3,12.0,1980,2408,8.0,,252481.9083226248,3.0,4,A,49,11395,3,68.10273923286483
27,0.072157581,B,B,5,,0,4.0,1977,10953,4.0,,140647.56593684404,1.0,0,A,2,629,1,53.769097136525275
85,0.037177818,B,B,4,,1,9.0,1979,2823,6.0,,89084.32787608178,3.0,7,B,52,11217,1,73.6122247317727
27,0.051815435,B,B,6,,0,5.0,1983,2119,5.0,,117000.38128669599,2.0,0,B,5,1227,0,49.36064780032354
34,0.069753361,B,B,6,,1,14.0,2001,3000,9.0,,231828.43766693235,2.0,11,B,53,13670,4,57.969964222530145
57,0.13321533300000002,B,B,6,,3,12.0,1983,2829,8.0,,183743.23046424173,1.0,4,A,49,11395,3,44.51348081256669
19,0.000991363,B,B,16,,1,25.0,2012,4909,11.0,,394895.32598680095,3.0,9,B,33,6783,3,110.95979224728356
0,0.319809354,B,B,12,,5,17.0,2002,8862,10.0,,521919.0573998705,3.0,8,B,25,4756,16,103.60529197422831
27,0.211401214,B,B,15,,0,1.0,1977,11935,4.0,,127200.02651097006,2.0,1,B,9,1892,0,64.71183493873933
48,0.041124634,B,B,19,,1,22.0,1996,11852,10.0,,215083.96905610108,1.0,10,B,46,9515,5,41.668649656506325
54,0.006076152,B,B,2,,6,0.0,1977,6641,4.0,,571069.0526003882,3.0,6,B,30,5285,0,118.90761184257369
150,0.020741326,B,B,4,,2,5.0,1964,7704,5.0,,241718.0995266293,3.0,5,B,24,5613,5,62.180535989371776
74,0.075778755,B,B,16,,0,17.0,1977,5073,4.0,,244145.8270685723,2.0,2,B,6,1437,3,82.66791473448255
27,0.072157581,B,B,17,,0,0.0,2018,4378,4.0,,337299.86793644377,3.0,0,A,2,629,1,106.95887123511149
23,0.075778755,B,B,8,,0,17.0,1977,7550,4.0,,173910.92372317292,2.0,2,B,6,1437,3,64.55620925344805
23,0.034656082000000005,B,B,3,,0,9.0,2014,8054,4.0,,95338.19854860756,1.0,0,B,0,168,0,42.53004325868857
11,0.00016967599999999998,B,B,4,,1,9.0,1972,522,6.0,,213374.16640304858,2.0,1,B,36,5992,0,48.37223191245333
50,0.007658515,B,B,9,,3,9.0,1965,89,7.0,,283877.6171417454,2.0,19,B,35,7077,56,39.43535081853332
61,0.300322518,B,B,12,,1,16.0,1984,4785,9.0,,189007.23894421052,1.0,9,B,52,10311,6,41.7651555000357
27,0.017647053,B,B,9,,0,15.0,1977,13253,4.0,,178721.70633739038,2.0,0,B,2,469,0,63.679115983087094
44,0.036122292,B,B,7,,1,9.0,1972,13905,6.0,,154928.80993818038,1.0,1,B,24,4378,0,34.7672268816687
90,0.265088676,B,B,2,,3,5.0,1965,8384,5.0,,176344.82040566398,2.0,2,B,37,5288,0,42.17678220950818
200,0.0,B,B,6,,2,5.0,1960,6486,9.0,,402871.91631724115,3.0,5,B,33,7425,1,85.28038875664878
23,0.075778755,B,B,4,,0,17.0,1977,11703,4.0,,103510.22360146276,1.0,2,B,6,1437,3,41.11876598003856
43,0.015016892,B,B,5,,0,9.0,1961,14591,5.0,,287056.01254272985,2.0,8,B,17,3079,59,43.701661788670734
177,0.0,B,B,9,,0,25.0,2012,8224,12.0,,191550.1213566216,3.0,2,B,36,6714,2,77.8739361356098
23,0.034656082000000005,B,B,16,,0,0.0,1977,9371,4.0,,229778.0579017187,2.0,0,B,0,168,0,60.503248324677
99,0.033493708,B,B,4,,3,5.0,1971,10739,5.0,,171266.94942738526,2.0,8,B,66,10573,1,45.257138805377025
101,0.225824954,A,B,5,,3,5.0,1963,1853,5.0,,197456.9208142761,3.0,2,B,41,6558,7,58.4198155580721
1,0.007122317,B,B,9,,0,17.0,1977,9833,4.0,,196078.90728935658,2.0,1,B,1,264,0,56.49431782042168
